Designator,Footprint,Quantity,Value,LCSC Part #
12V,402,1,12V_LED,
3V3_2,402,1,3V3LED,
"3V3, RuCV",TestPoint_Pad_D1.5mm,2,TestPoint,
"BOOT, EN",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C16, C29",402,3,10uF,
"C10, C11, C26, C3, C33, C44, C5, C6, C8",402,9,0.1uF,
C12,402,1,4.2pF,
"C13, C14",402,2,11pF,
"C15, C40, C41, C49, C53, C54",402,6,100nF,
C17,402,1,47nF,
,,,,
"C35, C36, C37",1206,3,47uF,
"C2, C20, C22, C23, C32, C4, C42, C52, C7",402,9,1uF,
C21,402,1,4.7uF,
"C24, C25, R50, R51",402,4,DNP,
C30,402,1,0.47uF,
"C31, C9",402,2,10nF,
C34,402,1,2.2uF,
"C43, C50, C51, C56, C57, C58",805,6,22uF,
"C48, C55",402,2,22nF,
"CLK_2, CLK, CS, D+, D-, ICS, IO, MCS, MISO, MOSI, OI, RX, SERVOPOWER, TX",TestPoint_Pad_D1.0mm,14,TestPoint,
CRX,402,1,CANRXLED,
CTX,402,1,CANTXLED,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
"D3, D4, D5",D_SOD-323,3,D_Schottky,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC1,SiC437BEDT1GE3,1,SIC437AED-T1-GE3,
IMU,PQFN50P300X300X80-16N,1,ICM-20608-G,
J1,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det,
J4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Male,
"J5, J6, J7",Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,3,Conn_01x03_Male,
JP1,SmallerSolderJP,1,TermJP,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TermJP,
L1,402,1,2.0nH,
L2,402,1,20nH,
L4,INDPM112100X400N,1,2.1uH,
L5,MPLAL60504R7,1,4.7uH,
MAG,PQFN50P300X300X100-16N,1,MMC5983MA,
,,,,
"R1, R14, R18, R3, R39, R40, R41",402,7,10K,
"R10, R9",603,2,60,
"R11, R12",402,2,5.1k,
"R13, R15, R2, R4, R42, R44, R46",402,7,470,
"R16, R23, R26, R27, R28, R29, R30, R31, R43, R45",402,10,1k,
R17,402,1,34k,
"R19, R35, R47, R48",402,4,100k,
R20,402,1,200k,
R21,402,1,2.2,
"R22, R7",402,2,3k,
R24,402,1,1.5k,
R25,402,1,2.2k,
R32,402,1,499k,
R33,402,1,806k,
R34,402,1,230k,
"R36, R37, R49, R8",402,4,0,
R38,402,1,21.5k,
,,,,
R6,402,1,499,
"S1, S2, S3",402,3,SERVOLED,
SP,402,1,SERVOPWR_LED,
TXLED,402,1,TX_LED,
,,,,
U10,MP28167GQ-A-Z,1,MP28167GQ-A-Z,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
"U3, U4",TSOT-23-6,2,LTC4412xS6,
U5,SOT-353_SC-70-5,1,74AHC1G00,
U6,SOT-353_SC-70-5,1,74AHC1G08,
,,,,
USBLED1,402,1,USB_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHzÂ±10ppm,
